ride_id,started_at,ended_at,ride_length_minutes,start_station_name,end_station_name,user_type,neighborhood,zip_code,month,weekday
RID100032,2023-01-03 07:55:17.703540708,2023-01-03 08:48:17.703540708,53,Station C,Station A,member,Downtown,60622,January,Tuesday
RID100033,2023-01-03 09:40:08.881776355,2023-01-03 10:11:08.881776355,31,Station C,Station D,casual,Wicker Park,60601,January,Tuesday
RID100034,2023-01-03 11:25:00.060012002,2023-01-03 12:11:00.060012002,46,Station D,Station B,member,Wicker Park,60601,January,Tuesday
RID100035,2023-01-03 13:09:51.238247649,2023-01-03 13:41:51.238247649,32,Station C,Station D,casual,Hyde Park,60614,January,Tuesday
RID100036,2023-01-03 14:54:42.416483296,2023-01-03 15:14:42.416483296,20,Station C,Station A,member,Downtown,60622,January,Tuesday
RID100037,2023-01-03 16:39:33.594718943,2023-01-03 16:58:33.594718943,19,Station C,Station C,casual,Wicker Park,60615,January,Tuesday
RID100038,2023-01-03 18:24:24.772954590,2023-01-03 19:15:24.772954590,51,Station C,Station A,member,Downtown,60615,January,Tuesday
RID100039,2023-01-03 20:09:15.951190238,2023-01-03 21:04:15.951190238,55,Station B,Station D,member,Lincoln Park,60622,January,Tuesday
RID100040,2023-01-03 21:54:07.129425885,2023-01-03 22:42:07.129425885,48,Station B,Station D,member,Hyde Park,60614,January,Tuesday
RID100041,2023-01-03 23:38:58.307661532,2023-01-04 00:37:58.307661532,59,Station B,Station C,casual,Downtown,60615,January,Tuesday
RID100042,2023-01-04 01:23:49.485897179,2023-01-04 02:19:49.485897179,56,Station B,Station B,casual,Lincoln Park,60622,January,Wednesday
RID100043,2023-01-04 03:08:40.664132826,2023-01-04 03:15:40.664132826,7,Station A,Station A,casual,Lincoln Park,60622,January,Wednesday
RID100044,2023-01-04 04:53:31.842368473,2023-01-04 05:34:31.842368473,41,Station B,Station C,member,Lincoln Park,60614,January,Wednesday
RID100045,2023-01-04 06:38:23.020604120,2023-01-04 07:33:23.020604120,55,Station C,Station C,casual,Wicker Park,60622,January,Wednesday
RID100046,2023-01-04 08:23:14.198839768,2023-01-04 08:34:14.198839768,11,Station B,Station C,member,Wicker Park,60615,January,Wednesday
RID100047,2023-01-04 10:08:05.377075415,2023-01-04 10:33:05.377075415,25,Station B,Station A,casual,Hyde Park,60601,January,Wednesday
RID100048,2023-01-04 11:52:56.555311062,2023-01-04 12:05:56.555311062,13,Station D,Station A,member,Hyde Park,60614,January,Wednesday
RID100049,2023-01-04 13:37:47.733546709,2023-01-04 14:20:47.733546709,43,Station C,Station A,member,Lincoln Park,60622,January,Wednesday
RID100050,2023-01-04 15:22:38.911782356,2023-01-04 15:44:38.911782356,22,Station B,Station B,member,Hyde Park,60614,January,Wednesday
RID100051,2023-01-04 17:07:30.090018003,2023-01-04 17:15:30.090018003,8,Station B,Station C,casual,Wicker Park,60622,January,Wednesday
RID100052,2023-01-04 18:52:21.268253650,2023-01-04 19:21:21.268253650,29,Station B,Station D,casual,Hyde Park,60601,January,Wednesday
RID100053,2023-01-04 20:37:12.446489297,2023-01-04 20:55:12.446489297,18,Station A,Station D,casual,Downtown,60614,January,Wednesday
RID100054,2023-01-04 22:22:03.624724945,2023-01-04 23:16:03.624724945,54,Station B,Station C,member,Wicker Park,60622,January,Wednesday
RID100055,2023-01-05 00:06:54.802960592,2023-01-05 00:19:54.802960592,13,Station D,Station D,member,Lincoln Park,60601,January,Thursday
RID100056,2023-01-05 01:51:45.981196239,2023-01-05 02:21:45.981196239,30,Station C,Station B,casual,Lincoln Park,60615,January,Thursday
RID100057,2023-01-05 03:36:37.159431886,2023-01-05 04:33:37.159431886,57,Station C,Station B,casual,Hyde Park,60622,January,Thursday
RID100058,2023-01-05 05:21:28.337667533,2023-01-05 05:27:28.337667533,6,Station B,Station A,casual,Wicker Park,60601,January,Thursday
RID100059,2023-01-05 07:06:19.515903180,2023-01-05 07:30:19.515903180,24,Station B,Station A,member,Lincoln Park,60601,January,Thursday
RID100060,2023-01-05 08:51:10.694138827,2023-01-05 09:23:10.694138827,32,Station B,Station A,member,Lincoln Park,60614,January,Thursday
RID100061,2023-01-05 10:36:01.872374474,2023-01-05 11:27:01.872374474,51,Station C,Station A,member,Wicker Park,60622,January,Thursday
RID100062,2023-01-05 12:20:53.050610122,2023-01-05 12:31:53.050610122,11,Station C,Station A,member,Wicker Park,60615,January,Thursday
RID100063,2023-01-05 14:05:44.228845769,2023-01-05 14:53:44.228845769,48,Station A,Station D,member,Lincoln Park,60622,January,Thursday
RID100064,2023-01-05 15:50:35.407081416,2023-01-05 16:02:35.407081416,12,Station D,Station D,casual,Hyde Park,60601,January,Thursday
RID100065,2023-01-05 17:35:26.585317063,2023-01-05 18:26:26.585317063,51,Station A,Station A,member,Hyde Park,60615,January,Thursday
RID100066,2023-01-05 19:20:17.763552710,2023-01-05 19:59:17.763552710,39,Station D,Station B,member,Hyde Park,60601,January,Thursday
RID100067,2023-01-05 21:05:08.941788357,2023-01-05 21:23:08.941788357,18,Station A,Station D,member,Downtown,60614,January,Thursday
RID100068,2023-01-05 22:50:00.120024004,2023-01-05 23:11:00.120024004,21,Station C,Station B,member,Wicker Park,60622,January,Thursday
RID100069,2023-01-06 00:34:51.298259651,2023-01-06 01:14:51.298259651,40,Station A,Station B,member,Lincoln Park,60601,January,Friday
RID100070,2023-01-06 02:19:42.476495299,2023-01-06 03:13:42.476495299,54,Station D,Station C,casual,Downtown,60601,January,Friday
RID100071,2023-01-06 04:04:33.654730946,2023-01-06 04:48:33.654730946,44,Station B,Station C,member,Hyde Park,60622,January,Friday
RID100072,2023-01-06 05:49:24.832966593,2023-01-06 05:57:24.832966593,8,Station D,Station A,member,Downtown,60615,January,Friday
RID100073,2023-01-06 07:34:16.011202240,2023-01-06 07:40:16.011202240,6,Station B,Station B,member,Lincoln Park,60601,January,Friday
RID100074,2023-01-06 09:19:07.189437887,2023-01-06 09:29:07.189437887,10,Station C,Station D,casual,Lincoln Park,60622,January,Friday
RID100075,2023-01-06 11:03:58.367673534,2023-01-06 12:01:58.367673534,58,Station D,Station C,casual,Wicker Park,60614,January,Friday
RID100076,2023-01-06 12:48:49.545909181,2023-01-06 13:34:49.545909181,46,Station A,Station C,casual,Hyde Park,60614,January,Friday
RID100077,2023-01-06 14:33:40.724144829,2023-01-06 14:41:40.724144829,8,Station D,Station B,member,Hyde Park,60622,January,Friday
RID100078,2023-01-06 16:18:31.902380476,2023-01-06 17:16:31.902380476,58,Station B,Station C,casual,Downtown,60601,January,Friday
RID100079,2023-01-06 18:03:23.080616123,2023-01-06 18:36:23.080616123,33,Station C,Station C,member,Hyde Park,60622,January,Friday
RID100080,2023-01-06 19:48:14.258851770,2023-01-06 20:10:14.258851770,22,Station A,Station D,member,Downtown,60622,January,Friday
RID100081,2023-01-06 21:33:05.437087417,2023-01-06 22:03:05.437087417,30,Station D,Station B,casual,Lincoln Park,60601,January,Friday
RID100082,2023-01-06 23:17:56.615323064,2023-01-07 00:05:56.615323064,48,Station B,Station C,member,Lincoln Park,60615,January,Friday
RID100083,2023-01-07 01:02:47.793558711,2023-01-07 01:40:47.793558711,38,Station A,Station B,member,Lincoln Park,60615,January,Saturday
RID100084,2023-01-07 02:47:38.971794358,2023-01-07 03:01:38.971794358,14,Station C,Station C,member,Lincoln Park,60614,January,Saturday
RID100085,2023-01-07 04:32:30.150030006,2023-01-07 05:12:30.150030006,40,Station A,Station D,casual,Lincoln Park,60615,January,Saturday
RID100086,2023-01-07 06:17:21.328265653,2023-01-07 06:35:21.328265653,18,Station C,Station B,member,Downtown,60622,January,Saturday
RID100087,2023-01-07 08:02:12.506501300,2023-01-07 08:37:12.506501300,35,Station A,Station C,member,Lincoln Park,60601,January,Saturday
RID100088,2023-01-07 09:47:03.684736947,2023-01-07 10:39:03.684736947,52,Station D,Station D,casual,Downtown,60614,January,Saturday
RID100089,2023-01-07 11:31:54.862972594,2023-01-07 11:50:54.862972594,19,Station B,Station C,member,Lincoln Park,60615,January,Saturday
RID100090,2023-01-07 13:16:46.041208241,2023-01-07 13:28:46.041208241,12,Station D,Station B,member,Downtown,60622,January,Saturday
RID100091,2023-01-07 15:01:37.219443888,2023-01-07 15:19:37.219443888,18,Station D,Station C,casual,Downtown,60614,January,Saturday
RID100092,2023-01-07 16:46:28.397679536,2023-01-07 17:13:28.397679536,27,Station C,Station B,member,Downtown,60601,January,Saturday
RID100093,2023-01-07 18:31:19.575915183,2023-01-07 19:15:19.575915183,44,Station C,Station B,member,Hyde Park,60615,January,Saturday
RID100094,2023-01-07 20:16:10.754150830,2023-01-07 20:41:10.754150830,25,Station C,Station C,member,Downtown,60622,January,Saturday
RID100095,2023-01-07 22:01:01.932386477,2023-01-07 22:21:01.932386477,20,Station D,Station D,member,Downtown,60601,January,Saturday
RID100096,2023-01-07 23:45:53.110622124,2023-01-08 00:34:53.110622124,49,Station A,Station A,member,Lincoln Park,60622,January,Saturday
RID100097,2023-01-08 01:30:44.288857771,2023-01-08 01:52:44.288857771,22,Station A,Station D,casual,Downtown,60622,January,Sunday
RID100098,2023-01-08 03:15:35.467093418,2023-01-08 04:06:35.467093418,51,Station D,Station D,casual,Downtown,60622,January,Sunday
RID100099,2023-01-08 05:00:26.645329065,2023-01-08 05:57:26.645329065,57,Station D,Station C,casual,Wicker Park,60601,January,Sunday
RID100100,2023-01-08 06:45:17.823564713,2023-01-08 07:13:17.823564713,28,Station B,Station D,casual,Hyde Park,60614,January,Sunday
RID100101,2023-01-08 08:30:09.001800360,2023-01-08 09:00:09.001800360,30,Station C,Station D,member,Wicker Park,60622,January,Sunday
RID100102,2023-01-08 10:15:00.180036007,2023-01-08 10:44:00.180036007,29,Station C,Station A,member,Lincoln Park,60614,January,Sunday
RID100103,2023-01-08 11:59:51.358271654,2023-01-08 12:48:51.358271654,49,Station D,Station D,member,Hyde Park,60614,January,Sunday
RID100104,2023-01-08 13:44:42.536507301,2023-01-08 14:29:42.536507301,45,Station D,Station A,member,Hyde Park,60615,January,Sunday
RID100105,2023-01-08 15:29:33.714742948,2023-01-08 16:02:33.714742948,33,Station A,Station C,member,Wicker Park,60615,January,Sunday
RID100106,2023-01-08 17:14:24.892978595,2023-01-08 17:33:24.892978595,19,Station D,Station A,casual,Hyde Park,60614,January,Sunday
RID100107,2023-01-08 18:59:16.071214242,2023-01-08 19:48:16.071214242,49,Station A,Station B,casual,Wicker Park,60615,January,Sunday
RID100108,2023-01-08 20:44:07.249449890,2023-01-08 20:49:07.249449890,5,Station D,Station B,member,Downtown,60615,January,Sunday
RID100109,2023-01-08 22:28:58.427685537,2023-01-08 22:57:58.427685537,29,Station B,Station A,member,Wicker Park,60614,January,Sunday
RID100110,2023-01-09 00:13:49.605921184,2023-01-09 00:24:49.605921184,11,Station B,Station B,member,Hyde Park,60601,January,Monday
RID100111,2023-01-09 01:58:40.784156831,2023-01-09 02:11:40.784156831,13,Station A,Station C,casual,Hyde Park,60615,January,Monday
RID100112,2023-01-09 03:43:31.962392478,2023-01-09 04:11:31.962392478,28,Station C,Station B,member,Lincoln Park,60615,January,Monday
RID100113,2023-01-09 05:28:23.140628125,2023-01-09 05:33:23.140628125,5,Station B,Station A,member,Lincoln Park,60601,January,Monday
RID100114,2023-01-09 07:13:14.318863772,2023-01-09 08:01:14.318863772,48,Station A,Station C,member,Lincoln Park,60601,January,Monday
RID100115,2023-01-09 08:58:05.497099419,2023-01-09 09:10:05.497099419,12,Station D,Station B,casual,Lincoln Park,60601,January,Monday
RID100116,2023-01-09 10:42:56.675335067,2023-01-09 11:10:56.675335067,28,Station D,Station C,member,Hyde Park,60614,January,Monday
RID100117,2023-01-09 12:27:47.853570714,2023-01-09 12:42:47.853570714,15,Station A,Station A,casual,Lincoln Park,60601,January,Monday
RID100118,2023-01-09 14:12:39.031806361,2023-01-09 15:07:39.031806361,55,Station C,Station B,casual,Wicker Park,60614,January,Monday
RID100119,2023-01-09 15:57:30.210042008,2023-01-09 16:18:30.210042008,21,Station A,Station C,casual,Downtown,60622,January,Monday
RID100120,2023-01-09 17:42:21.388277655,2023-01-09 17:54:21.388277655,12,Station A,Station C,casual,Hyde Park,60622,January,Monday
RID100121,2023-01-09 19:27:12.566513302,2023-01-09 20:06:12.566513302,39,Station B,Station B,casual,Lincoln Park,60601,January,Monday
RID100122,2023-01-09 21:12:03.744748949,2023-01-09 21:51:03.744748949,39,Station A,Station C,casual,Hyde Park,60601,January,Monday
RID100123,2023-01-09 22:56:54.922984597,2023-01-09 23:33:54.922984597,37,Station A,Station C,member,Lincoln Park,60622,January,Monday
RID100124,2023-01-10 00:41:46.101220244,2023-01-10 00:50:46.101220244,9,Station D,Station A,member,Hyde Park,60614,January,Tuesday
RID100125,2023-01-10 02:26:37.279455891,2023-01-10 03:12:37.279455891,46,Station B,Station A,member,Lincoln Park,60614,January,Tuesday
RID100126,2023-01-10 04:11:28.457691538,2023-01-10 04:54:28.457691538,43,Station D,Station A,casual,Downtown,60601,January,Tuesday
RID100127,2023-01-10 05:56:19.635927185,2023-01-10 06:41:19.635927185,45,Station D,Station A,member,Lincoln Park,60601,January,Tuesday
RID100128,2023-01-10 07:41:10.814162832,2023-01-10 08:13:10.814162832,32,Station C,Station A,casual,Wicker Park,60601,January,Tuesday
RID100129,2023-01-10 09:26:01.992398479,2023-01-10 09:37:01.992398479,11,Station C,Station A,casual,Hyde Park,60622,January,Tuesday
RID100130,2023-01-10 11:10:53.170634126,2023-01-10 11:23:53.170634126,13,Station B,Station B,casual,Hyde Park,60615,January,Tuesday
RID100131,2023-01-10 12:55:44.348869774,2023-01-10 13:07:44.348869774,12,Station B,Station A,member,Wicker Park,60601,January,Tuesday
RID100132,2023-01-10 14:40:35.527105421,2023-01-10 14:56:35.527105421,16,Station C,Station C,casual,Wicker Park,60614,January,Tuesday
RID100133,2023-01-10 16:25:26.705341068,2023-01-10 17:03:26.705341068,38,Station C,Station B,casual,Downtown,60615,January,Tuesday
RID100134,2023-01-10 18:10:17.883576715,2023-01-10 18:47:17.883576715,37,Station C,Station C,member,Hyde Park,60614,January,Tuesday
RID100135,2023-01-10 19:55:09.061812362,2023-01-10 20:47:09.061812362,52,Station C,Station A,member,Downtown,60615,January,Tuesday
RID100136,2023-01-10 21:40:00.240048009,2023-01-10 22:39:00.240048009,59,Station C,Station A,casual,Hyde Park,60622,January,Tuesday
RID100137,2023-01-10 23:24:51.418283656,2023-01-10 23:51:51.418283656,27,Station D,Station C,casual,Hyde Park,60615,January,Tuesday
RID100138,2023-01-11 01:09:42.596519303,2023-01-11 01:37:42.596519303,28,Station B,Station C,member,Downtown,60614,January,Wednesday
RID100139,2023-01-11 02:54:33.774754951,2023-01-11 03:35:33.774754951,41,Station D,Station C,member,Hyde Park,60615,January,Wednesday
RID100140,2023-01-11 04:39:24.952990598,2023-01-11 05:18:24.952990598,39,Station D,Station D,member,Hyde Park,60622,January,Wednesday
RID100141,2023-01-11 06:24:16.131226245,2023-01-11 07:12:16.131226245,48,Station A,Station D,casual,Downtown,60614,January,Wednesday
RID100142,2023-01-11 08:09:07.309461892,2023-01-11 08:53:07.309461892,44,Station D,Station D,member,Lincoln Park,60601,January,Wednesday
RID100143,2023-01-11 09:53:58.487697539,2023-01-11 10:19:58.487697539,26,Station C,Station D,member,Downtown,60615,January,Wednesday
RID100144,2023-01-11 11:38:49.665933186,2023-01-11 12:09:49.665933186,31,Station C,Station B,member,Hyde Park,60614,January,Wednesday
RID100145,2023-01-11 13:23:40.844168833,2023-01-11 14:02:40.844168833,39,Station A,Station A,casual,Wicker Park,60615,January,Wednesday
RID100146,2023-01-11 15:08:32.022404481,2023-01-11 15:13:32.022404481,5,Station A,Station C,member,Lincoln Park,60622,January,Wednesday
RID100147,2023-01-11 16:53:23.200640128,2023-01-11 17:32:23.200640128,39,Station A,Station A,member,Wicker Park,60614,January,Wednesday
RID100148,2023-01-11 18:38:14.378875775,2023-01-11 19:19:14.378875775,41,Station A,Station C,member,Lincoln Park,60601,January,Wednesday
RID100149,2023-01-11 20:23:05.557111422,2023-01-11 21:14:05.557111422,51,Station A,Station A,member,Wicker Park,60601,January,Wednesday
RID100150,2023-01-11 22:07:56.735347069,2023-01-11 22:25:56.735347069,18,Station D,Station B,member,Lincoln Park,60615,January,Wednesday
RID100151,2023-01-11 23:52:47.913582716,2023-01-11 23:59:47.913582716,7,Station A,Station D,casual,Downtown,60622,January,Wednesday
RID100152,2023-01-12 01:37:39.091818363,2023-01-12 01:42:39.091818363,5,Station D,Station A,casual,Lincoln Park,60622,January,Thursday
RID100153,2023-01-12 03:22:30.270054010,2023-01-12 03:31:30.270054010,9,Station B,Station C,casual,Lincoln Park,60615,January,Thursday
RID100154,2023-01-12 05:07:21.448289658,2023-01-12 05:37:21.448289658,30,Station A,Station A,member,Lincoln Park,60614,January,Thursday
RID100155,2023-01-12 06:52:12.626525305,2023-01-12 07:51:12.626525305,59,Station A,Station B,casual,Hyde Park,60614,January,Thursday
RID100156,2023-01-12 08:37:03.804760952,2023-01-12 08:55:03.804760952,18,Station D,Station B,casual,Wicker Park,60615,January,Thursday
RID100157,2023-01-12 10:21:54.982996599,2023-01-12 11:04:54.982996599,43,Station B,Station A,casual,Downtown,60614,January,Thursday
RID100158,2023-01-12 12:06:46.161232246,2023-01-12 12:37:46.161232246,31,Station D,Station D,member,Wicker Park,60614,January,Thursday
RID100159,2023-01-12 13:51:37.339467893,2023-01-12 14:04:37.339467893,13,Station D,Station C,member,Wicker Park,60614,January,Thursday
RID100160,2023-01-12 15:36:28.517703540,2023-01-12 15:55:28.517703540,19,Station A,Station B,casual,Downtown,60615,January,Thursday
RID100161,2023-01-12 17:21:19.695939187,2023-01-12 17:40:19.695939187,19,Station C,Station B,casual,Hyde Park,60601,January,Thursday
RID100162,2023-01-12 19:06:10.874174835,2023-01-12 19:36:10.874174835,30,Station C,Station A,member,Lincoln Park,60622,January,Thursday
RID100163,2023-01-12 20:51:02.052410482,2023-01-12 21:37:02.052410482,46,Station D,Station B,member,Hyde Park,60601,January,Thursday
RID100164,2023-01-12 22:35:53.230646129,2023-01-12 22:52:53.230646129,17,Station A,Station B,casual,Hyde Park,60614,January,Thursday
RID100165,2023-01-13 00:20:44.408881776,2023-01-13 01:15:44.408881776,55,Station B,Station C,member,Lincoln Park,60615,January,Friday
RID100166,2023-01-13 02:05:35.587117423,2023-01-13 02:41:35.587117423,36,Station C,Station D,casual,Wicker Park,60622,January,Friday
RID100167,2023-01-13 03:50:26.765353070,2023-01-13 04:33:26.765353070,43,Station B,Station C,member,Lincoln Park,60614,January,Friday
RID100168,2023-01-13 05:35:17.943588717,2023-01-13 06:28:17.943588717,53,Station C,Station D,casual,Downtown,60622,January,Friday
RID100169,2023-01-13 07:20:09.121824365,2023-01-13 08:16:09.121824365,56,Station A,Station C,casual,Lincoln Park,60622,January,Friday
RID100170,2023-01-13 09:05:00.300060012,2023-01-13 09:41:00.300060012,36,Station D,Station A,member,Wicker Park,60601,January,Friday
RID100171,2023-01-13 10:49:51.478295659,2023-01-13 10:57:51.478295659,8,Station B,Station B,casual,Hyde Park,60614,January,Friday
RID100172,2023-01-13 12:34:42.656531306,2023-01-13 13:08:42.656531306,34,Station B,Station D,casual,Hyde Park,60622,January,Friday
RID100173,2023-01-13 14:19:33.834766953,2023-01-13 15:00:33.834766953,41,Station D,Station A,casual,Lincoln Park,60601,January,Friday
RID100174,2023-01-13 16:04:25.013002600,2023-01-13 16:31:25.013002600,27,Station B,Station B,member,Downtown,60615,January,Friday
RID100175,2023-01-13 17:49:16.191238247,2023-01-13 18:32:16.191238247,43,Station C,Station B,member,Wicker Park,60622,January,Friday
RID100176,2023-01-13 19:34:07.369473894,2023-01-13 20:23:07.369473894,49,Station D,Station B,member,Hyde Park,60614,January,Friday
RID100177,2023-01-13 21:18:58.547709542,2023-01-13 21:37:58.547709542,19,Station C,Station C,casual,Lincoln Park,60615,January,Friday
RID100178,2023-01-13 23:03:49.725945189,2023-01-13 23:50:49.725945189,47,Station C,Station A,member,Downtown,60622,January,Friday
RID100179,2023-01-14 00:48:40.904180836,2023-01-14 01:21:40.904180836,33,Station A,Station A,casual,Downtown,60622,January,Saturday
RID100180,2023-01-14 02:33:32.082416483,2023-01-14 03:13:32.082416483,40,Station C,Station B,casual,Hyde Park,60614,January,Saturday
RID100181,2023-01-14 04:18:23.260652130,2023-01-14 04:35:23.260652130,17,Station A,Station D,member,Hyde Park,60622,January,Saturday
RID100182,2023-01-14 06:03:14.438887777,2023-01-14 06:39:14.438887777,36,Station B,Station A,member,Wicker Park,60614,January,Saturday
RID100183,2023-01-14 07:48:05.617123424,2023-01-14 07:59:05.617123424,11,Station B,Station C,casual,Downtown,60614,January,Saturday
RID100184,2023-01-14 09:32:56.795359072,2023-01-14 10:27:56.795359072,55,Station A,Station D,casual,Wicker Park,60614,January,Saturday
RID100185,2023-01-14 11:17:47.973594719,2023-01-14 11:43:47.973594719,26,Station C,Station D,member,Downtown,60614,January,Saturday
RID100186,2023-01-14 13:02:39.151830366,2023-01-14 13:34:39.151830366,32,Station D,Station D,member,Downtown,60622,January,Saturday
RID100187,2023-01-14 14:47:30.330066013,2023-01-14 14:53:30.330066013,6,Station D,Station D,member,Lincoln Park,60615,January,Saturday
RID100188,2023-01-14 16:32:21.508301660,2023-01-14 17:18:21.508301660,46,Station A,Station A,casual,Hyde Park,60615,January,Saturday
RID100189,2023-01-14 18:17:12.686537307,2023-01-14 19:06:12.686537307,49,Station B,Station B,casual,Downtown,60601,January,Saturday
RID100190,2023-01-14 20:02:03.864772954,2023-01-14 20:59:03.864772954,57,Station B,Station D,casual,Wicker Park,60614,January,Saturday
RID100191,2023-01-14 21:46:55.043008601,2023-01-14 21:56:55.043008601,10,Station D,Station C,casual,Hyde Park,60622,January,Saturday
RID100192,2023-01-14 23:31:46.221244249,2023-01-15 00:03:46.221244249,32,Station A,Station C,casual,Wicker Park,60622,January,Saturday
RID100193,2023-01-15 01:16:37.399479896,2023-01-15 01:48:37.399479896,32,Station D,Station B,member,Hyde Park,60601,January,Sunday
RID100194,2023-01-15 03:01:28.577715543,2023-01-15 03:49:28.577715543,48,Station C,Station A,member,Hyde Park,60615,January,Sunday
RID100195,2023-01-15 04:46:19.755951190,2023-01-15 05:34:19.755951190,48,Station C,Station B,casual,Downtown,60622,January,Sunday
RID100196,2023-01-15 06:31:10.934186837,2023-01-15 06:55:10.934186837,24,Station A,Station D,casual,Lincoln Park,60601,January,Sunday
RID100197,2023-01-15 08:16:02.112422484,2023-01-15 08:50:02.112422484,34,Station A,Station A,member,Downtown,60615,January,Sunday
RID100198,2023-01-15 10:00:53.290658131,2023-01-15 10:15:53.290658131,15,Station C,Station A,member,Hyde Park,60622,January,Sunday
RID100199,2023-01-15 11:45:44.468893778,2023-01-15 12:44:44.468893778,59,Station B,Station D,member,Downtown,60614,January,Sunday
RID100200,2023-01-15 13:30:35.647129426,2023-01-15 14:02:35.647129426,32,Station A,Station C,member,Downtown,60601,January,Sunday
RID100201,2023-01-15 15:15:26.825365073,2023-01-15 15:44:26.825365073,29,Station C,Station D,casual,Hyde Park,60622,January,Sunday
RID100202,2023-01-15 17:00:18.003600720,2023-01-15 17:43:18.003600720,43,Station C,Station B,member,Hyde Park,60601,January,Sunday
