ride_id,started_at,ended_at,ride_length_minutes,start_station_name,end_station_name,user_type,neighborhood,zip_code
RIDE100110,2023-04-19,2023-04-19 00:20:00,20.0,Station A,Station B,casual,Downtown,60615
RIDE100111,2023-12-02,2023-12-02 01:54:00,114.0,Station E,Station E,casual,Wicker Park,60640
RIDE100112,2023-09-13,2023-09-13 00:55:00,55.0,Station B,Station E,casual,Hyde Park,60622
RIDE100113,2023-07-22,2023-07-22 00:32:00,32.0,Station C,Station C,member,Hyde Park,60640
RIDE100114,2023-11-26,2023-11-26 01:03:00,63.0,Station D,Station A,casual,Hyde Park,60615
RIDE100115,2023-08-23,2023-08-23 01:50:00,110.0,Station B,Station B,member,Wicker Park,60614
RIDE100116,2023-03-15,2023-03-15 01:45:00,105.0,Station B,Station C,casual,Hyde Park,60614
RIDE100117,2023-05-16,2023-05-16 00:29:00,29.0,Station B,Station D,casual,Lincoln Park,60601
RIDE100118,2023-03-13,2023-03-13 01:36:00,96.0,Station C,Station C,casual,Wicker Park,60601
RIDE100119,2023-05-07,2023-05-07 00:48:00,48.0,Station D,Station A,casual,Lincoln Park,60640
RIDE100120,2023-10-15,2023-10-15 00:18:00,18.0,Station D,Station E,member,Hyde Park,60615
RIDE100121,2023-10-03,2023-10-03 01:41:00,101.0,Station C,Station E,casual,Uptown,60640
RIDE100122,2023-05-15,2023-05-15 00:58:00,58.0,Station A,Station E,member,Uptown,60614
RIDE100123,2023-10-27,2023-10-27 00:10:00,10.0,Station B,Station E,casual,Hyde Park,60615
RIDE100124,2023-08-08,2023-08-08 01:26:00,86.0,Station D,Station E,member,Lincoln Park,60601
RIDE100125,2023-10-26,2023-10-26 01:52:00,112.0,Station C,Station D,member,Hyde Park,60640
RIDE100126,2023-07-24,2023-07-24 01:31:00,91.0,Station C,Station C,member,Wicker Park,60614
RIDE100127,2023-07-05,2023-07-05 01:20:00,80.0,Station B,Station C,casual,Wicker Park,60614
RIDE100128,2023-04-23,2023-04-23 00:20:00,20.0,Station C,Station D,casual,Uptown,60614
RIDE100129,2023-03-12,2023-03-12 01:43:00,103.0,Station E,Station C,member,Wicker Park,60614
RIDE100130,2023-09-18,2023-09-18 01:59:00,119.0,Station B,Station B,member,Downtown,60640
RIDE100131,2023-09-10,2023-09-10 01:02:00,62.0,Station D,Station B,member,Lincoln Park,60640
RIDE100132,2023-02-16,2023-02-16 01:03:00,63.0,Station B,Station A,casual,Lincoln Park,60622
RIDE100133,2023-01-25,2023-01-25 01:29:00,89.0,Station A,Station B,casual,Lincoln Park,60614
RIDE100134,2023-02-26,2023-02-26 01:20:00,80.0,Station B,Station D,casual,Hyde Park,60622
RIDE100135,2023-03-20,2023-03-20 01:09:00,69.0,Station B,Station E,member,Hyde Park,60640
RIDE100136,2023-11-18,2023-11-18 00:22:00,22.0,Station A,Station C,casual,Hyde Park,60615
RIDE100137,2023-03-23,2023-03-23 01:08:00,68.0,Station B,Station E,casual,Uptown,60614
RIDE100138,2023-12-15,2023-12-15 00:05:00,5.0,Station C,Station E,casual,Downtown,60615
RIDE100139,2023-08-05,2023-08-05 01:12:00,72.0,Station D,Station C,member,Downtown,60614
RIDE100140,2023-11-02,2023-11-02 01:39:00,99.0,Station D,Station A,member,Wicker Park,60601
RIDE100141,2023-02-02,2023-02-02 00:11:00,11.0,Station E,Station C,member,Lincoln Park,60615
RIDE100142,2023-07-17,2023-07-17 01:15:00,75.0,Station D,Station C,member,Lincoln Park,60615
RIDE100143,2023-07-15,2023-07-15 01:00:00,60.0,Station D,Station B,casual,Downtown,60615
RIDE100144,2023-11-02,2023-11-02 01:52:00,112.0,Station A,Station A,casual,Wicker Park,60614
RIDE100145,2023-08-28,2023-08-28 01:19:00,79.0,Station B,Station C,member,Lincoln Park,60640
RIDE100146,2023-09-28,2023-09-28 01:06:00,66.0,Station B,Station C,member,Lincoln Park,60640
RIDE100147,2023-05-09,2023-05-09 01:10:00,70.0,Station C,Station D,casual,Hyde Park,60614
RIDE100148,2023-10-11,2023-10-11 01:44:00,104.0,Station B,Station D,member,Lincoln Park,60614
RIDE100149,2023-01-06,2023-01-06 00:27:00,27.0,Station A,Station B,member,Uptown,60640
RIDE100150,2023-12-15,2023-12-15 01:33:00,93.0,Station C,Station B,member,Lincoln Park,60614
RIDE100151,2023-02-28,2023-02-28 01:19:00,79.0,Station C,Station C,casual,Hyde Park,60640
RIDE100152,2023-12-16,2023-12-16 00:27:00,27.0,Station E,Station C,casual,Hyde Park,60601
RIDE100153,2023-10-02,2023-10-02 01:38:00,98.0,Station B,Station E,casual,Uptown,60614
RIDE100154,2023-05-17,2023-05-17 01:49:00,109.0,Station A,Station A,member,Uptown,60640
RIDE100155,2023-11-25,2023-11-25 00:21:00,21.0,Station D,Station B,casual,Uptown,60622
RIDE100156,2023-06-24,2023-06-24 00:18:00,18.0,Station A,Station C,member,Hyde Park,60622
RIDE100157,2023-02-27,2023-02-27 00:54:00,54.0,Station A,Station B,member,Downtown,60615
RIDE100158,2023-05-31,2023-05-31 01:29:00,89.0,Station A,Station A,member,Hyde Park,60640
RIDE100159,2023-08-11,2023-08-11 01:21:00,81.0,Station C,Station B,casual,Uptown,60614
RIDE100160,2023-03-22,2023-03-22 01:22:00,82.0,Station E,Station E,casual,Downtown,60601
RIDE100161,2023-08-21,2023-08-21 01:57:00,117.0,Station C,Station E,casual,Lincoln Park,60640
RIDE100162,2023-01-02,2023-01-02 00:46:00,46.0,Station A,Station B,casual,Downtown,60601
RIDE100163,2023-05-15,2023-05-15 01:09:00,69.0,Station D,Station A,member,Uptown,60615
RIDE100164,2023-09-14,2023-09-14 01:57:00,117.0,Station C,Station E,casual,Lincoln Park,60614
RIDE100165,2023-04-02,2023-04-02 00:54:00,54.0,Station A,Station A,casual,Lincoln Park,60640
RIDE100166,2023-09-17,2023-09-17 00:58:00,58.0,Station D,Station E,member,Uptown,60615
RIDE100167,2023-02-24,2023-02-24 01:22:00,82.0,Station B,Station E,casual,Downtown,60601
RIDE100168,2023-11-17,2023-11-17 01:33:00,93.0,Station B,Station B,casual,Uptown,60622
RIDE100169,2023-06-02,2023-06-02 01:42:00,102.0,Station A,Station A,member,Downtown,60640
RIDE100170,2023-11-24,2023-11-24 00:36:00,36.0,Station E,Station D,member,Uptown,60622
RIDE100171,2023-09-17,2023-09-17 00:40:00,40.0,Station E,Station A,casual,Wicker Park,60640
RIDE100172,2023-11-08,2023-11-08 00:55:00,55.0,Station A,Station C,member,Wicker Park,60640
RIDE100173,2023-04-12,2023-04-12 00:48:00,48.0,Station E,Station B,casual,Lincoln Park,60615
RIDE100174,2023-03-20,2023-03-20 00:42:00,42.0,Station E,Station C,casual,Wicker Park,60614
RIDE100175,2023-07-11,2023-07-11 01:02:00,62.0,Station E,Station E,casual,Uptown,60601
RIDE100176,2023-03-24,2023-03-24 01:48:00,108.0,Station C,Station D,member,Wicker Park,60614
RIDE100177,2023-10-04,2023-10-04 00:22:00,22.0,Station D,Station D,casual,Hyde Park,60615
RIDE100178,2023-09-29,2023-09-29 00:22:00,22.0,Station A,Station E,casual,Hyde Park,60614
RIDE100179,2023-01-01,2023-01-01 00:57:00,57.0,Station B,Station B,member,Hyde Park,60614
RIDE100180,2023-11-03,2023-11-03 01:22:00,82.0,Station E,Station D,casual,Uptown,60622
RIDE100181,2023-06-15,2023-06-15 01:34:00,94.0,Station A,Station C,member,Uptown,60615
RIDE100182,2023-09-08,2023-09-08 01:58:00,118.0,Station C,Station A,member,Hyde Park,60640
RIDE100183,2023-01-10,2023-01-10 01:40:00,100.0,Station C,Station A,member,Uptown,60622
RIDE100184,2023-02-27,2023-02-27 01:10:00,70.0,Station E,Station D,member,Wicker Park,60640
RIDE100185,2023-07-05,2023-07-05 00:43:00,43.0,Station D,Station D,member,Wicker Park,60622
RIDE100186,2023-06-07,2023-06-07 01:52:00,112.0,Station B,Station D,casual,Wicker Park,60614
RIDE100187,2023-05-03,2023-05-03 01:34:00,94.0,Station D,Station C,member,Downtown,60622
RIDE100188,2023-01-30,2023-01-30 01:15:00,75.0,Station B,Station A,member,Lincoln Park,60622
RIDE100189,2023-05-04,2023-05-04 01:55:00,115.0,Station B,Station B,casual,Lincoln Park,60615
RIDE100190,2023-10-18,2023-10-18 00:45:00,45.0,Station A,Station C,casual,Lincoln Park,60640
RIDE100191,2023-02-10,2023-02-10 01:36:00,96.0,Station B,Station A,member,Hyde Park,60614
RIDE100192,2023-02-13,2023-02-13 01:39:00,99.0,Station B,Station C,member,Downtown,60614
RIDE100193,2023-09-06,2023-09-06 01:15:00,75.0,Station C,Station A,casual,Uptown,60615
RIDE100194,2023-02-05,2023-02-05 01:25:00,85.0,Station D,Station B,member,Lincoln Park,60614
RIDE100195,2023-09-30,2023-09-30 00:32:00,32.0,Station D,Station A,member,Downtown,60601
RIDE100196,2023-03-06,2023-03-06 00:30:00,30.0,Station C,Station C,member,Hyde Park,60622
RIDE100197,2023-03-07,2023-03-07 00:31:00,31.0,Station E,Station B,member,Lincoln Park,60614
RIDE100198,2023-12-04,2023-12-04 01:24:00,84.0,Station A,Station E,casual,Hyde Park,60622
RIDE100199,2023-09-01,2023-09-01 01:36:00,96.0,Station D,Station C,member,Downtown,60615
RIDE100200,2023-10-09,2023-10-09 00:42:00,42.0,Station E,Station C,member,Downtown,60615
RIDE100201,2023-03-26,2023-03-26 01:32:00,92.0,Station C,Station D,casual,Downtown,60615
RIDE100202,2023-05-16,2023-05-16 00:49:00,49.0,Station A,Station E,member,Hyde Park,60601
RIDE100203,2023-09-28,2023-09-28 01:31:00,91.0,Station C,Station A,casual,Wicker Park,60622
RIDE100204,2023-11-07,2023-11-07 00:21:00,21.0,Station E,Station C,member,Hyde Park,60614
RIDE100205,2023-08-05,2023-08-05 01:35:00,95.0,Station D,Station A,casual,Uptown,60622
RIDE100206,2023-04-19,2023-04-19 01:28:00,88.0,Station D,Station D,casual,Lincoln Park,60614
RIDE100207,2023-10-04,2023-10-04 00:27:00,27.0,Station B,Station A,member,Downtown,60614
RIDE100208,2023-12-20,2023-12-20 01:09:00,69.0,Station C,Station E,member,Wicker Park,60640
RIDE100209,2023-04-13,2023-04-13 01:14:00,74.0,Station B,Station C,casual,Downtown,60615
RIDE100210,2023-06-09,2023-06-09 01:33:00,93.0,Station C,Station B,member,Lincoln Park,60622
RIDE100211,2023-07-24,2023-07-24 01:26:00,86.0,Station D,Station E,member,Hyde Park,60622
RIDE100212,2023-12-10,2023-12-10 00:46:00,46.0,Station C,Station A,member,Uptown,60615
RIDE100213,2023-11-29,2023-11-29 01:35:00,95.0,Station C,Station A,casual,Hyde Park,60622
RIDE100214,2023-07-11,2023-07-11 00:19:00,19.0,Station A,Station B,member,Lincoln Park,60614
RIDE100215,2023-08-13,2023-08-13 01:42:00,102.0,Station E,Station B,member,Wicker Park,60614
RIDE100216,2023-09-22,2023-09-22 00:50:00,50.0,Station A,Station E,casual,Uptown,60615
RIDE100217,2023-08-20,2023-08-20 01:16:00,76.0,Station A,Station D,casual,Uptown,60615
RIDE100218,2023-03-03,2023-03-03 01:06:00,66.0,Station B,Station B,member,Downtown,60622
RIDE100219,2023-05-07,2023-05-07 01:19:00,79.0,Station C,Station B,member,Wicker Park,60622
RIDE100220,2023-04-26,2023-04-26 01:18:00,78.0,Station E,Station C,casual,Downtown,60622
RIDE100221,2023-02-02,2023-02-02 01:30:00,90.0,Station D,Station D,member,Uptown,60640
RIDE100222,2023-06-23,2023-06-23 01:35:00,95.0,Station C,Station B,casual,Downtown,60615
RIDE100223,2023-01-11,2023-01-11 00:58:00,58.0,Station C,Station D,casual,Wicker Park,60615
RIDE100224,2023-10-29,2023-10-29 01:31:00,91.0,Station A,Station B,member,Uptown,60601
RIDE100225,2023-10-11,2023-10-11 01:40:00,100.0,Station E,Station D,member,Downtown,60601
RIDE100226,2023-04-28,2023-04-28 01:59:00,119.0,Station B,Station C,member,Downtown,60601
RIDE100227,2023-10-29,2023-10-29 01:52:00,112.0,Station D,Station B,casual,Uptown,60622
RIDE100228,2023-04-23,2023-04-23 01:13:00,73.0,Station D,Station B,member,Wicker Park,60614
RIDE100229,2023-01-04,2023-01-04 00:41:00,41.0,Station A,Station A,casual,Lincoln Park,60622
RIDE100230,2023-02-06,2023-02-06 01:57:00,117.0,Station D,Station E,casual,Lincoln Park,60614
RIDE100231,2023-12-29,2023-12-29 01:53:00,113.0,Station C,Station B,casual,Uptown,60640
RIDE100232,2023-11-20,2023-11-20 00:59:00,59.0,Station C,Station A,casual,Lincoln Park,60614
RIDE100233,2023-01-31,2023-01-31 01:48:00,108.0,Station A,Station D,member,Downtown,60640
RIDE100234,2023-04-28,2023-04-28 00:06:00,6.0,Station B,Station A,member,Hyde Park,60615
RIDE100235,2023-02-04,2023-02-04 01:11:00,71.0,Station C,Station D,member,Lincoln Park,60601
RIDE100236,2023-01-17,2023-01-17 00:18:00,18.0,Station B,Station E,member,Hyde Park,60640
RIDE100237,2023-06-19,2023-06-19 00:08:00,8.0,Station B,Station E,casual,Downtown,60601
RIDE100238,2023-02-06,2023-02-06 00:53:00,53.0,Station D,Station B,member,Hyde Park,60640
RIDE100239,2023-09-21,2023-09-21 00:23:00,23.0,Station C,Station B,member,Uptown,60640
RIDE100240,2023-05-02,2023-05-02 00:11:00,11.0,Station D,Station A,member,Lincoln Park,60615
RIDE100241,2023-05-23,2023-05-23 01:30:00,90.0,Station A,Station D,member,Hyde Park,60614
RIDE100242,2023-12-09,2023-12-09 00:12:00,12.0,Station C,Station C,member,Lincoln Park,60615
RIDE100243,2023-09-06,2023-09-06 00:30:00,30.0,Station A,Station E,member,Wicker Park,60640
RIDE100244,2023-04-20,2023-04-20 00:39:00,39.0,Station D,Station D,member,Lincoln Park,60622
RIDE100245,2023-10-04,2023-10-04 01:41:00,101.0,Station D,Station E,member,Downtown,60640
RIDE100246,2023-03-09,2023-03-09 01:45:00,105.0,Station D,Station B,member,Uptown,60622
RIDE100247,2023-10-20,2023-10-20 00:25:00,25.0,Station C,Station C,member,Uptown,60601
RIDE100248,2023-10-23,2023-10-23 00:41:00,41.0,Station D,Station D,casual,Hyde Park,60615
RIDE100249,2023-08-31,2023-08-31 01:32:00,92.0,Station A,Station E,casual,Lincoln Park,60640
RIDE100250,2023-05-05,2023-05-05 00:37:00,37.0,Station B,Station B,member,Uptown,60601
RIDE100251,2023-08-31,2023-08-31 00:23:00,23.0,Station C,Station C,casual,Wicker Park,60640
RIDE100252,2023-07-28,2023-07-28 01:52:00,112.0,Station E,Station B,member,Lincoln Park,60601
RIDE100253,2023-04-08,2023-04-08 00:12:00,12.0,Station A,Station C,member,Lincoln Park,60601
RIDE100254,2023-02-18,2023-02-18 01:33:00,93.0,Station C,Station D,member,Lincoln Park,60615
RIDE100255,2023-02-19,2023-02-19 01:45:00,105.0,Station D,Station D,member,Wicker Park,60615
RIDE100256,2023-12-04,2023-12-04 00:42:00,42.0,Station E,Station D,member,Hyde Park,60615
RIDE100257,2023-08-09,2023-08-09 00:31:00,31.0,Station E,Station E,casual,Downtown,60601
RIDE100258,2023-07-01,2023-07-01 01:41:00,101.0,Station C,Station C,casual,Downtown,60640
RIDE100259,2023-08-05,2023-08-05 01:14:00,74.0,Station D,Station E,casual,Lincoln Park,60601
RIDE100260,2023-07-30,2023-07-30 00:09:00,9.0,Station A,Station D,member,Uptown,60622
RIDE100261,2023-08-28,2023-08-28 00:50:00,50.0,Station A,Station C,member,Wicker Park,60622
RIDE100262,2023-01-28,2023-01-28 01:49:00,109.0,Station B,Station A,member,Wicker Park,60601
RIDE100263,2023-12-11,2023-12-11 01:02:00,62.0,Station D,Station B,casual,Lincoln Park,60614
RIDE100264,2023-12-01,2023-12-01 00:18:00,18.0,Station B,Station A,casual,Lincoln Park,60622
RIDE100265,2023-11-27,2023-11-27 01:23:00,83.0,Station A,Station C,member,Lincoln Park,60622
RIDE100266,2023-02-20,2023-02-20 01:56:00,116.0,Station D,Station D,member,Downtown,60640
RIDE100267,2023-02-01,2023-02-01 01:31:00,91.0,Station B,Station D,casual,Hyde Park,60615
RIDE100268,2023-07-26,2023-07-26 01:39:00,99.0,Station C,Station C,member,Downtown,60614
RIDE100269,2023-06-23,2023-06-23 01:16:00,76.0,Station C,Station B,member,Hyde Park,60614
RIDE100270,2023-02-25,2023-02-25 01:55:00,115.0,Station E,Station D,casual,Downtown,60640
RIDE100271,2023-05-08,2023-05-08 00:33:00,33.0,Station A,Station A,member,Wicker Park,60615
